movieId,title,genres
2731,Tipu Sultan (1959),Action
2741,Masoom (1960),Drama
2744,Kohinoor (1960),Action|Adventure|Comedy            
2745,Sujata (1960),Drama|Romance            
2748,Tu Nahin Aur Sahi (1960),Drama|Romance            
2751,Bewaqoof (1960),Musical
2756,Patang (1960),Comedy|Crime|Drama            
2758,Kanoon (1960),Drama|Crime|Mystery            
2759,Ek Phool Char Kante (1960),Comedy|Drama|Romance            
2761,Zimbo Shaher Mein (1960),Drama
2763,Love in Simla (1960),Comedy|Drama|Family            
2765,Apna Haath Jagannath (1960),Comedy
2766,Chhalia (1960),Musical|Romance            
2767,Ghar Ki Laaj (1960),Drama|Family            
2768,Baraat (1960),Drama
2769,Zameen Ke Tare (1960),Drama|Family            
2775,Usne Kaha Tha (1960),Drama|Romance|War            
2776,Sarhad (1960),Drama
2777,Dil Bhi Tera Hum Bhi Tere (1960),Drama|Romance            
2778,Maa Baap (1960),Family|Romance            
2781,Ek Ke Baad Ek (1960),Drama|Family            
2783,Duniya Jhukti Hai (1960),Drama|Family|Romance            
2784,Hum Hindustani (1960),Drama|Family            
2796,Basant (1960),Comedy|Drama|Romance            
2797,Kala Aadmi (1960),Action|Drama|Mystery            
2798,Barsaat Ki Raat (1960),Drama|Musical|Romance            
2801,Ghunghat (1960),Drama|Family            
2803,Bindya (1960),Drama
2805,Sri Venkateswara Mahathyam (1960),Drama|Musical            
2806,Kalpana (1960),Romance
2810,Mud Mud Ke Na Dekh (1960),Drama|Family            
2811,Return of Mr. Superman (1960),Action|Adventure|Crime            
2812,Aanchal (1960),Drama|Family            
2813,Singapore (1960),Crime|Thriller            
2815,Mehlon Ke Khwab (1960),Drama|Romance            
2816,Babar (1960),Drama|Family            
2822,Apna Ghar (1960),Drama|Family            
2825,Bombai Ka Babu (1960),Drama|Musical|Romance            
2826,Anuradha (1960),Drama|Romance            
2827,Kala Bazar (1960),Crime|Drama|Musical            
2828,College Girl (1960),Drama|Romance            
2829,Parakh (1960),Comedy|Drama|Romance            
2831,Superman (1960),Action|Adventure            
2832,Angulimaal (1960),Action|Adventure|Drama            
2841,Jis Desh Men Ganga Behti Hai (1960),Drama|Musical|Romance            
2843,Lal Quila (1960),Thriller
2845,Jaali Note (1960),Action|Crime|Drama            
2848,Shriman Satyawadi (1960),Action|Crime|Drama            
2850,Dil Apna Aur Preet Parai (1960),Musical|Romance            
2854,Char Diwari (1961),Drama|Romance            
2857,Shola Aur Shabnam (1961),Drama|Family            
2858,Pyaar Ka Saagar (1961),Drama|Family|Musical            
2859,Reshmi Rumal (1961),Romance
2860,Ram Lila (1961),Drama
2861,Nazrana (1961),Comedy|Drama|Romance            
2864,Junglee (1961),Comedy|Drama|Musical            
2866,Jhumroo (1961),Comedy|Drama|Musical            
2868,Mr. India (1961),Comedy|Crime|Drama            
